pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"OGLE-2016-BLG-1227L b",2020,"OGLE",0,,3.4,13.9,250,,,
"Kepler-276 c",2013,"Kepler",0,"31.884",0.1994,2.9,16.6,"0","563","1144.86"
"Kepler-829 b",2016,"Kepler",0,"6.88337562",0.0678,2.11,5.1,"0","857","1073.76"
"K2-283 b",2018,"K2",0,"1.921036",0.0291,3.52,12.2,,"1186","402.915"
"Kepler-477 b",2016,"Kepler",0,"11.11990653",0.0911,2.07,4.94,"0","649","367"
"TOI-1260 c",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"7.493134",0.0657,2.76,13.2,"0","651","73.5977"
"HD 149143 b",2005,"Haute-Provence Observatory",0,"4.07182",0.053,13.6,422.7139,"0.0167",,"73.2801"
"HD 99492 b",2004,"W. M. Keck Observatory",0,"17.0503",0.12,5.44,25.5,"0.034",,"18.2038"
"nu Oph c",2012,"Okayama Astrophysical Observatory",0,"3180.6",5.829,12,7838.32346,"0.179",,"46.2107"
"75 Cet b",2012,"Okayama Astrophysical Observatory",0,"696.62",1.912,13.3,787.89662,"0.093",,"82.9613"
"gam Lib b",2018,"Okayama Astrophysical Observatory",0,"414.88",1.319,13.7,357.87479,"0.16",,"47.4017"
"HIP 12961 b",2010,"La Silla Observatory",0,"57.435",0.25,13.2,114.4188,"0.17",,"23.371"
"HD 11755 b",2015,"Bohyunsan Optical Astronomical Observatory",0,"433.70001",1.09,12.8,1789.3829,"0.19",,"235.045"
"HD 29985 b",2022,"Multiple Observatories",0,"20608.14049",13.39,12.8,1739.47487,"0.261",,"31.2707"
"HD 115954 b",2021,"Haute-Provence Observatory",0,"3700",5,12.6,2685.65004,"0.487","144.9","87.6437"
"HIP 97233 b",2014,"Multiple Observatories",0,"1062.26506",2.491,12.1,6098.17365,"0.63",,"102.275"
"HD 95872 b",2015,"Multiple Facilities",0,"4375",5.15,13,1188.6842,"0.06",,"72.2195"
"OGLE-2015-BLG-0966L b",2016,"OGLE",0,,2.7,4.86,21,,,"3300"
"WASP-49 b",2012,"SuperWASP",0,"2.78174",0.0379,12.442,117.5971,"0","1400","194.553"
"WASP-56 b",2012,"SuperWASP",0,"4.6171",0.05614,10.536,143.0235,"0","1216","321.084"
"WASP-47 c",2015,"La Silla Observatory",0,"588.8",1.393,13.5,500,"0.295","247","264.78"
"TOI-1470 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.527093",0.0285,2.18,7.32,"0.3","734","51.9503"
"V1298 Tau b",2019,"K2",0,"24.1396",0.1688,10.27,203.41018,"0.29","677","108.199"
"HD 22946 d",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"47.42489",0.2958,2.607,26.57,,"546","62.7792"
"HAT-P-23 b",2010,"HATNet",0,"1.212884",0.0232,15.334,664.237,"0.106","2056","364.813"
"tau Cet e",2017,"Multiple Observatories",0,"162.87",0.538,1.81,3.93,"0.18",,"3.60304"
"K2-254 c",2018,"K2",0,"12.11839",0.0923,2.19,5.43,,"551","227.775"
"EPIC 220554210 c",2019,"K2",0,"0.70531",,1.6,3.19,,,"496.289"
"NSVS 14256825 b",2019,"Multiple Observatories",0,"3225",3.12,12.3,4497.2945,"0.12",,"820.877"
"Kepler-1390 b",2016,"Kepler",0,"6.48021673",0.0662,1.18,1.76,"0","934","723.431"
"Kepler-393 c",2014,"Kepler",0,"14.613612",0.124,1.33,2.33,"0","901","881.404"
"Kepler-263 c",2014,"Kepler",0,"47.332773",0.242,2.47,6.66,"0","386","754.747"
"Kepler-1431 b",2016,"Kepler",0,"5.86601526",0.0648,1.47,2.76,"0","1064","1623.24"
"Kepler-237 c",2014,"Kepler",0,"8.103636",0.071,2.08,4.98,"0","687","657.822"
"Kepler-1510 b",2016,"Kepler",0,"84.703921",0.4089,3.36,11.2,"0","537","1696.25"
"Kepler-169 e",2014,"Kepler",0,"13.767102",0.105,2.2,5.48,"0","595","406.529"
